nombre_completo;legislatura;nombre;apellidos;distrito;partido;familia_partidos;ideologia;id_dip
Jose Martin Gomez;1933-1936;JOSE;MARTIN GOMEZ;Málaga;PRR;Republicanos;C;544
Diego Martin Rodriguez;1933-1936;DIEGO;MARTIN RODRIGUEZ;Málaga;PRR;Republicanos;C;546
Carlos Echeguren Ocio;1933-1936;CARLOS;ECHEGUREN OCIO;Melilla;PRR;Republicanos;C;277
Jose Cardona Serra;1931-1933;JOSE;CARDONA SERRA;Murcia;PRR;Republicanos;C;188
Salvador Martinez Moya Crespo;1931-1933;SALVADOR;MARTINEZ MOYA CRESPO;Murcia;PRR;Republicanos;C;565
Miguel Rivera Ruiz;1931-1933;MIGUEL;RIVERA RUIZ;Murcia;PRR;Republicanos;C;793
Jose Templado Martinez;1931-1933;JOSE;TEMPLADO MARTINEZ;Murcia;PRR;Republicanos;C;936
Jose Cardona Serra;1933-1936;JOSE;CARDONA SERRA;Murcia;PRR;Republicanos;C;188
Salvador Martinez Moya Crespo;1933-1936;SALVADOR;MARTINEZ MOYA CRESPO;Murcia;PRR;Republicanos;C;565
Juan Jose Rocha Garcia;1933-1936;JUAN JOSE;ROCHA GARCIA;Murcia;PRR;Republicanos;C;798
Damaso Velez Gonzalvez;1933-1936;DAMASO;VELEZ GONZALVEZ;Murcia;PRR;Republicanos;C;992
Basilio Alvarez Rodriguez;1931-1933;BASILIO;ALVAREZ RODRIGUEZ;Orense;PRR;Republicanos;C;55
Luis Fabrega Coello;1931-1933;LUIS;FABREGA COELLO;Orense;PRR;Republicanos;C;295
Manuel Garcia Becerra;1931-1933;MANUEL;GARCIA BECERRA;Orense;PRR;Republicanos;C;353
Alfonso Pazos Cid;1931-1933;ALFONSO;PAZOS CID;Orense;PRR;Republicanos;C;701
Justo Villanueva Y Gomez;1931-1933;JUSTO;VILLANUEVA Y GOMEZ;Orense;PRR;Republicanos;C;1011
Justo Villanueva Y Gomez;1936-1939;JUSTO;VILLANUEVA Y GOMEZ;Orense;PRR;Republicanos;C;1011
Basilio Alvarez Rodriguez;1933-1936;BASILIO;ALVAREZ RODRIGUEZ;Orense;PRR;Republicanos;C;55
Luis Fabrega Santamaria;1933-1936;LUIS;FABREGA SANTAMARIA;Orense;PRR;Republicanos;C;296
Fernando Ramos Cerviño;1933-1936;FERNANDO;RAMOS CERVIÑO;Orense;PRR;Republicanos;C;770
Justo Villanueva Y Gomez;1933-1936;JUSTO;VILLANUEVA Y GOMEZ;Orense;PRR;Republicanos;C;1011
Jose Alvarez Buylla Y Godino;1931-1933;JOSE;ALVAREZ BUYLLA Y GODINO;Oviedo;PRR;Republicanos;C;48
Rafael Guerra Del Rio;1931-1933;RAFAEL;GUERRA DEL RIO;Palmas (Las);PRR;Republicanos;C;422
Rafael Guerra Del Rio;1936-1939;RAFAEL;GUERRA DEL RIO;Palmas (Las);PRR;Republicanos;C;422
Rafael Guerra Del Rio;1933-1936;RAFAEL;GUERRA DEL RIO;Palmas (Las);PRR;Republicanos;C;422
Manuel Lorenzo Pardo;1933-1936;MANUEL;LORENZO PARDO;Palmas (Las);PRR;Republicanos;C;506
Camilo Martinon Navarro;1933-1936;CAMILO;MARTINON NAVARRO;Palmas (Las);PRR;Republicanos;C;573
Emiliano Iglesias Y Ambrosio;1931-1933;EMILIANO;IGLESIAS Y AMBROSIO;Pontevedra;PRR;Republicanos;C;443
Jose Lopez Varela;1931-1933;JOSE;LOPEZ VARELA;Pontevedra;PRR;Republicanos;C;503
Ramon Salgado Perez;1931-1933;RAMON;SALGADO PEREZ;Pontevedra;PRR;Republicanos;C;853
Luis Fontaiña Sarrapio;1933-1936;LUIS;FONTAIÑA SARRAPIO;Pontevedra;PRR;Republicanos;C;336
Emiliano Iglesias Y Ambrosio;1933-1936;EMILIANO;IGLESIAS Y AMBROSIO;Pontevedra;PRR;Republicanos;C;443
Jose Lopez Varela;1933-1936;JOSE;LOPEZ VARELA;Pontevedra;PRR;Republicanos;C;503
Isidoro Millan Mariño;1933-1936;ISIDORO;MILLAN MARIÑO;Pontevedra;PRR;Republicanos;C;599
Antonio Prieto Rivas;1933-1936;ANTONIO;PRIETO RIVAS;Pontevedra;PRR;Republicanos;C;753
Ramon Salgado Perez;1933-1936;RAMON;SALGADO PEREZ;Pontevedra;PRR;Republicanos;C;853
Vicente Sierra Martinez;1933-1936;VICENTE;SIERRA MARTINEZ;Pontevedra;PRR;Republicanos;C;909
Ramon Gil Roldan Y Martin;1931-1933;RAMON;GIL ROLDAN Y MARTIN;Santa Cruz de Tenerife;PRR;Republicanos;C;381
Antonio Lara Zarate;1931-1933;ANTONIO;LARA ZARATE;Santa Cruz de Tenerife;PRR;Republicanos;C;477
Alonso Perez Diaz;1931-1933;ALONSO;PEREZ DIAZ;Santa Cruz de Tenerife;PRR;Republicanos;C;718
Elfidio Alonso Rodriguez;1933-1936;ELFIDIO;ALONSO RODRIGUEZ;Santa Cruz de Tenerife;PRR;Republicanos;C;43
Antonio Lara Zarate;1933-1936;ANTONIO;LARA ZARATE;Santa Cruz de Tenerife;PRR;Republicanos;C;477
Rubens Marichal Lopez;1933-1936;RUBENS;MARICHAL LOPEZ;Santa Cruz de Tenerife;PRR;Republicanos;C;535
Andres Orozco Batista;1933-1936;ANDRES;OROZCO BATISTA;Santa Cruz de Tenerife;PRR;Republicanos;C;670
Alonso Perez Diaz;1933-1936;ALONSO;PEREZ DIAZ;Santa Cruz de Tenerife;PRR;Republicanos;C;718
Pedro Romero Rodriguez;1931-1933;PEDRO;ROMERO RODRIGUEZ;Segovia;PRR;Republicanos;C;817
Eutiquiano Rebollar Rodriguez;1933-1936;EUTIQUIANO;REBOLLAR RODRIGUEZ;Segovia;PRR;Republicanos;C;773
Jose Marcial Dorado;1931-1933;JOSE;MARCIAL DORADO;Sevilla;PRR;Republicanos;C;528
Juan Revilla Garcia;1931-1933;JUAN;REVILLA GARCIA;Sevilla;PRR;Republicanos;C;781
Rodrigo Fernandez Y Garcia De La Villa;1931-1933;RODRIGO;FERNANDEZ Y GARCIA DE LA VILLA;Sevilla;PRR;Republicanos;C;324
Manuel Blasco Garzon;1933-1936;MANUEL;BLASCO GARZON;Sevilla;PRR;Republicanos;C;144
Jose Gonzalez Fernandez De La Bandera;1933-1936;JOSE;GONZALEZ FERNANDEZ DE LA BANDERA;Sevilla;PRR;Republicanos;C;399
Jose Gonzalez Navas;1933-1936;JOSE;GONZALEZ NAVAS;Sevilla;PRR;Republicanos;C;402
Ramon Gonzalez Sicilia Y De La Corte;1933-1936;RAMON;GONZALEZ SICILIA Y DE LA CORTE;Sevilla;PRR;Republicanos;C;407
Diego Martinez Barrio;1933-1936;DIEGO;MARTINEZ BARRIO;Sevilla;PRR;Republicanos;C;550
Manuel Mateos Silva;1933-1936;MANUEL;MATEOS SILVA;Sevilla;PRR;Republicanos;C;578
Jaime Simo Bofarull;1931-1933;JAIME;SIMO BOFARULL;Tarragona;PRR;Republicanos;C;913
Juan Palau Mayor;1933-1936;JUAN;PALAU MAYOR;Tarragona;PRR;Republicanos;C;689
Jose Borrajo Esquiu;1931-1933;JOSE;BORRAJO ESQUIU;Teruel;PRR;Republicanos;C;151
Ramon Feced Gresa;1931-1933;RAMON;FECED GRESA;Teruel;PRR;Republicanos;C;301
Manuel Lorente Atienza;1931-1933;MANUEL;LORENTE ATIENZA;Teruel;PRR;Republicanos;C;505
Perfecto Diaz Alonso;1931-1933;PERFECTO;DIAZ ALONSO;Toledo;PRR;Republicanos;C;260
Emilio Palomo Aguado;1931-1933;EMILIO;PALOMO AGUADO;Toledo;PRR;Republicanos;C;692
Pedro Riera Vidal;1931-1933;PEDRO;RIERA VIDAL;Toledo;PRR;Republicanos;C;788
Juan Bort Olmos;1931-1933;JUAN;BORT OLMOS;Valencia;PRR;Republicanos;C;152
Alejandro Lerroux Garcia;1933-1936;ALEJANDRO;LERROUX GARCIA;Valencia;PRR;Republicanos;C;487
Angel Puig Puig;1933-1936;ANGEL;PUIG PUIG;Valencia;PRR;Republicanos;C;761
Faustino Valentin Torrejon;1933-1936;FAUSTINO;VALENTIN TORREJON;Valencia;PRR;Republicanos;C;968
